Params,Score
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",0.4619824230733126
"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",0.46886552859734765
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.37570147354378103
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.4090779306117963
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.3831448992727595
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.4106779621376172
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.4212426684044314
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.43685067301540303
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.4230836930448721
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.4362896800033063
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.43533012884897754
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.45413922174153887
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.43909121695115194
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.4502970123197397
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.4487764040764425
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.45982171891975365
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.4517365633202841
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.4604606934847598
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",0.4566198617157031
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",0.4669448243668965
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",0.4619824230733126
"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",0.46886552859734765
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.37570147354378103
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.4090779306117963
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.3831448992727595
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.4106779621376172
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.4212426684044314
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.43685067301540303
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.4230836930448721
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.4362896800033063
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.43533012884897754
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.45413922174153887
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.43909121695115194
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.4502970123197397
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.4487764040764425
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.45982171891975365
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.4517365633202841
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.4604606934847598
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",0.4566198617157031
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",0.4669448243668965
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",0.4619824230733126
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",0.46886552859734765
